id,perturbation_spread,flip_rate,text_length,n_valid,mean_cosine,mean_jaccard_dist
A01141,0.004811028233827399,0.0,843,5,0.9820906162261963,0.4186095547525113
A01142,0.5010906308757588,0.8,1411,5,0.8971112608909607,0.3893647237096213
A01143,0.4234835122326841,0.8,958,5,0.8889524221420289,0.7381786098977062
A01144,0.00497838005520856,0.0,1540,5,0.8887941360473632,0.7056708936746089
A01145,0.3517063563525207,1.0,1261,5,0.8834668159484863,0.7930397302948833
A01146,0.021029952554529878,0.0,2511,5,0.892918860912323,0.6665029994380188
A01147,0.04994608876337044,0.0,1662,4,0.8464922606945038,0.7766233888536919
A01148,0.0006966344647547122,0.0,981,4,0.8426992148160934,0.769461551624906
A01149,0.2465543208749312,0.2,1030,5,0.8861319541931152,0.7624062747682614
A01150,0.010399925114417284,0.0,543,5,0.8761802792549134,0.7554052624817842
A01151,0.10648044387785527,0.0,749,5,0.8750072360038758,0.7760839950079569
A01152,0.5047295852801739,0.6,1349,5,0.9319173336029053,0.7191603055703666
A01153,0.13487639250469258,0.0,2186,3,0.8380107879638672,0.7095081021524372
A01154,0.0385365248269263,0.0,536,5,0.8868039965629577,0.8069540122637466
A01155,0.1020425073209424,0.0,2389,5,0.887226152420044,0.7264544911835263
A01156,0.35363115506169923,0.6,1156,5,0.9324255585670471,0.8016904564608225
A01157,0.3862016442244614,1.0,2420,5,0.8921262979507446,0.7480693600717527
A01158,0.34083275948259684,0.2,2261,5,0.8782065749168396,0.7124303099710799
A01159,0.10236817893313276,0.0,294,5,0.8807496786117553,0.7538912608068502
A01160,0.4072983932012438,0.4,1691,5,0.9139483094215393,0.7883171194527653
A01161,nan,nan,1270,0,nan,nan
A01162,0.3887987578795012,1.0,663,5,0.9481218695640564,0.6720096733191185
A01163,0.25436863138341675,1.0,1439,5,0.9491912961006165,0.7162493156761341
A01164,0.3695408549317074,1.0,2069,5,0.9577306628227233,0.6687443752762581
A01165,0.006219382720008654,0.0,1136,5,0.9871496319770813,0.39413856009934245
A01166,0.3135565544448111,0.2,2188,5,0.9711798429489136,0.5599673169484939
A01167,0.3545042867369714,1.0,460,5,0.9441617846488952,0.48237045860631333
A01168,0.002055128698203553,0.0,1523,5,0.967818558216095,0.5982579431975185
A01169,0.40152172816940834,0.8,1633,5,0.9792010307312011,0.4499488046365611
A01170,0.0017485519288217403,0.0,1011,5,0.9669148802757264,0.55543379778085
A01171,0.04215342368573949,0.0,624,5,0.9405551671981811,0.5212592880068071
A01172,0.02191138221919241,0.0,1150,5,0.9537147402763366,0.5093980232723059
A01173,0.4312845643431972,0.6,1711,5,0.9330087661743164,0.7553648459839378
A01174,0.4345487722793035,0.8,2822,5,0.9606923222541809,0.6130965683483504
